name,parent,floor_area_total,resale_price_total,per_sqm,r2_per_sqm,r3_per_sqm,r4_per_sqm,r5_per_sqm,executive_per_sqm
Origin,,,,,,,,,
ANG MO KIO,Origin,19494,106958913,5486.760696,5413.127273,5079.83381,5626.207391,6318.161671,5950.819672
BEDOK,Origin,29300,153949029,5254.233072,5505.617978,5014.7851,5332.989814,5319.68624,5797.258561
BISHAN,Origin,12775,82926516,6491.312407,,5662.453081,6230.704495,7064.412596,6539.215686
BUKIT BATOK,Origin,18973,98366618,5184.557951,,5058.955183,5154.95122,5416.810195,5044.36928
BUKIT MERAH,Origin,20729,151218332,7295.013363,6399.176955,6814.560371,7813.122656,6956.840585,0
BUKIT PANJANG,Origin,23801,118615048,4983.616151,5964.285714,5084.914573,4868.981677,5115.789501,4946.664928
BUKIT TIMAH,Origin,1337,9504000,7108.451758,0,5902.527076,7155.241935,6557.377049,7963.800905
CENTRAL AREA,Origin,4462,38340244.88,8592.614272,5209.888889,6757.64037,8709.708738,11090.37226,0
CHOA CHU KANG,Origin,40866,197538460,4833.809524,5443.850267,5384.946074,4821.739046,4813.534027,4681.955519
CLEMENTI,Origin,14121,93977816,6655.181361,7061.22449,5998.191542,7251.713995,7002.772176,5896.825397
GEYLANG,Origin,14765.9,87885478,5951.921522,5557.874627,5149.145691,6287.343834,6730.804366,5890.625
HOUGANG,Origin,34959,185347348,5301.849252,0,5419.589438,5331.698221,5156.845567,5309.093127
JURONG EAST,Origin,11893,58024352,4878.865887,6461.538462,4982.831661,4787.318922,4666.110097,5139.06718
JURONG WEST,Origin,38079,178769160,4694.691562,5549.450549,4998.92758,4752.20351,4603.997123,4559.498879
KALLANG/WHAMPOA,Origin,20245,145299156,7177.039071,5847.826087,6258.688726,7797.120496,6951.402737,5673.758865
MARINE PARADE,Origin,3265,20650999,6324.961409,0,5842.889908,5962.884411,6850.344138,0
PASIR RIS,Origin,23633,119349340,5050.113824,6208.053691,6993.576017,5017.535547,4881.746513,5136.370973
PUNGGOL,Origin,46816,261114201,5577.456447,6478.403636,6112.212493,5621.527476,5420.360407,4961.123894
QUEENSTOWN,Origin,15552,119078427,7656.79186,5785.407725,6231.911075,8659.410397,8378.918012,7547.945205
SEMBAWANG,Origin,16168,80746104,4994.192479,6259.124088,5608.910891,5091.845435,4952.135062,4551.807326
SENGKANG,Origin,54203,290920614,5367.241924,6594.58548,6025.242285,5517.479423,5138.16343,5043.345155
SERANGOON,Origin,11160,63524604,5692.168817,5795.454545,5625.839951,5499.098836,5499.700455,6227.067122
TAMPINES,Origin,43044,226334946,5258.222888,6899.280576,5494.088982,5148.198316,5149.491199,5466.020505
TOA PAYOH,Origin,16493,103111346,6251.824774,6061.22449,5171.484716,6478.197318,7195.075509,6281.358881
WOODLANDS,Origin,38842,180353564,4643.261521,6276.595745,4951.17473,4660.727567,4474.985302,4754.228291
YISHUN,Origin,43285,216851876.9,5009.862005,6570.247934,5351.985979,4823.116838,4955.719162,5168.462292
