"town","floor_area_total","resale_price_total","per_sqm_town"
"ANG MO KIO",19494,106958913,5486.76069559865
"BEDOK",29300,153949029,5254.23307167235
"BISHAN",12775,82926516,6491.31240704501
"BUKIT BATOK",18973,98366618,5184.55795077215
"BUKIT MERAH",20729,151218332,7295.01336292151
"BUKIT PANJANG",23801,118615048,4983.61615058191
"BUKIT TIMAH",1337,9504000,7108.45175766642
"CENTRAL AREA",4462,38340244.88,8592.61427162707
"CHOA CHU KANG",40866,197538460,4833.80952380952
"CLEMENTI",14121,93977816,6655.18136109341
"GEYLANG",14765.9,87885478,5951.92152188488
"HOUGANG",34959,185347348,5301.84925198089
"JURONG EAST",11893,58024352,4878.86588749685
"JURONG WEST",38079,178769159.99,4694.69156201581
"KALLANG/WHAMPOA",20245,145299156,7177.03907137565
"MARINE PARADE",3265,20650999,6324.96140888208
"PASIR RIS",23633,119349340,5050.11382389032
"PUNGGOL",46816,261114201,5577.45644651401
"QUEENSTOWN",15552,119078427,7656.7918595679
"SEMBAWANG",16168,80746104,4994.19247897081
"SENGKANG",54203,290920614,5367.24192387875
"SERANGOON",11160,63524604,5692.1688172043
"TAMPINES",43044,226334946,5258.22288820742
"TOA PAYOH",16493,103111346,6251.82477414661
"WOODLANDS",38842,180353564,4643.26152103393
"YISHUN",43285,216851876.88,5009.86200485156
